entry,language,meaning_1,meaning_2,mark,split
баха́й,Botlih,ударить стукнуть,показать продемонстрировать,1,train
կահույքային,Armenian,Мебельный,Инвентарный,0,train
aflægge,Danish,представлять отчет,приносить клятву,0,train
φείδομαι,Ancient greek,щадить,быть бережливым,1,train
գլուխ,Armenian,Голова покрыть голову,не укладывается в голове,0,train
nazimçarx,Azeri,маховик колесо с массивным ободом обеспечивающее равномерное движение машины обод маховика спица маховика,маховой маховой момент,0,train
ταλαεργός,Ancient greek,трудолюбивый выносливый в работе,неутомимый в трудах много потрудившийся,0,train
πόρρω,Ancient greek,вдали от далеко от,вдаль вглубь вперед,0,train
visiškas,Lithuanian,совершенный,полный,1,train
liberti,Welsh,liberty,(pl.) rights,1,train
oriénten,Norwegian,ориентировать направлять направить,ориентировать информировать про,0,train
ekspedition,Danish,экспедиционная контора экспедиция,экспедиция путешествие,0,train
margløs,Norwegian,лишённый сердцевины,слабый,1,train
hyddysg,Welsh,"learned, trained, well-versed, proficient, expert, able, skilful",easily understood or learnt (of a subject),0,train
edrychwr,Welsh,onlooker,"spectator, beholder, observer, watchman",0,train
ἀνερμάτιστος,Ancient greek,ненагруженный порожний,ненакрытый пустой,0,train
fram,Norwegian,произведете создание,произведете,0,train
bitişik,Azeri,соединённый соединённый картон,сросшиеся брови,0,train
alltudedd,Welsh,положение статут ненатурализованного иностранца статут иностранного подданного,ссылка,0,train
išsisklaidymas,Lithuanian,рассеивание,рассеяние,0,train
am-anga,Zulu,неправда ложь,неточные сведения слухи,0,train
is-andiso,Zulu,пре увеличение,фальсификация подделка прибыль,1,train
dresēt,Latvian,дрессировать,перен муштровать,0,train
pagauti,Lithuanian,словить,захватывать,0,train
chwithig,Welsh,left,"awkward, clumsy, bungling",1,train
qızılsöyüd,Azeri,краснотал красная верба дерево или кустарник из рода ив,красноталовый красноталовые заросли,0,train
give,Danish,давать сдавать карты,дарить жертвовать приносить,0,train
canlı,Azeri,живо оживленно бодро урок прошел очень живо оживленно,большой значительный по объёму в поперечном сечении шалбан толстое бревно толстая веревка толстая нитка,0,train
dilləndirmək,Azeri,заставить заговорить кого,заиграть начать играть на музыкальном инструменте,1,train
իրավասություն,Armenian,Правомочность правомочие,Юрисдикция,0,train
чучади́,Botlih,раз болтать,смесь помойки и остатков пищи для скота помои бурда,0,train
онъайласув,Nogai,приноравливаться приспосабливаться,становиться удобным,0,train
bheka,Zulu,смотреть наблюдать,присматривать за бодрствовать,1,train
fiphaza,Zulu,затемнять,обманывать,1,train
didžiai,Lithuanian,очень,весьма,0,train
is-angci,Zulu,сильный дождь ливень,разновидность мангуста,0,train
chitha,Zulu,выбрасывать высыпать,тратить время деньги громить,1,train
къамаку́й,Botlih,черстветь,пригореть,0,train
εὔλυτος,Ancient greek,легко отвязываемый,проворный ловкий,0,train
anuoti,Lithuanian,копаться,портить,1,train
golch,Welsh,"a washing or cleansing with water, an act of washing oneself","urine, water, lye",0,train
rūkt,Latvian,рычать ворчать собака ворчит,греметь грохотать гром гремит,0,train
şıltaq,Azeri,каприз,привередник привередница,0,train
køle,Norwegian,редк писать на каракулями царапать на как курица лапой в знач разг чёрный пречёрный а разг неразборчивый нечёткий о почерке и,колотушка для забоя тюленей,0,train
καθαίρω,Ancient greek,чистить мыть омывать,смывать,0,train
айландырув(айландыр-)1),Nogai,превращать обращать во куьлкиге айландырув обратить в шутку,обманывать морочить голову,0,train
drėkti,Lithuanian,сыреть,влажнеть,0,train
isi-fuba,Zulu,грудь грудина,доверенное лицо хранитель тайн,1,train
påjlægge,Danish,накладывать,поручать,0,train
б=агъаргъа́й,Botlih,волновать приводить в волнение море,мешать взбалтывать мутить намутить жидкость,1,train
uzšūt,Latvian,нашить нашивать,сшить,0,train
нымыгъд,Osetian,тот на кого донесли,рекомендованный донос,0,train
жана́лъи,Botlih,винный,коричневый,1,train
бæллæхы,Osetian,бедовый разг,злополучный,0,train
bruge,Danish,использовать пользоваться применять употреблять,употреблять,0,train
mudināt,Latvian,побуждать,торопить,0,train
kalbėjimas,Lithuanian,говор,говорение,0,train
annhymhorol,Welsh,"unseasonable, out of season, untimely, premature, unfitting","not temperate (of climate, &c.)",0,train
διαφαίνω,Ancient greek,показывать являть обнаруживать,ярко пылать,1,train
æрцъыкк,Osetian,хлестнуть,отсечь,0,train
хайырлы,Nogai,выгодный,удачный успешный,0,train
mimning,Norwegian,усгье,дуло жерлос,1,train
kapoti,Lithuanian,рубить,стегать,1,train
гьа́йбатаб,Botlih,живописный,величавый,0,train
zonda,Zulu,ненавидеть,завидовать смотреть с завистью,1,train
lapė,Lithuanian,лиса,лисица,0,train
antkaklis,Lithuanian,ошейник,тяжесть,1,train
məruf,Azeri,такой о котором или которого знают знакомый,быть известным знаменитым,0,train
mədən,Azeri,промысловый промысловая железная дорога,рудничный рудничная лампа рудничная вагонетка рудничная вентиляция рудничный газ рудничная крепь,0,train
tirgoties,Latvian,торговать,перен торговаться,0,train
ծնել,Armenian,Рождать породить,Создавать создать,1,train
lakstyti,Lithuanian,бегать,летать,1,train
kadangi,Lithuanian,так как,"ввиду того, что...",0,train
dambra,Lithuanian,"дудка, свирель",губная гармоника,0,train
lun,Norwegian,уютный защищённый от ветра,от милый спокойный,1,train
тыхст,Osetian,спутанный запутанный,переживающий встревоженный обеспокоенный,1,train
hlomeka,Zulu,быть наколотым вкопанным,загораться вспыхивать,1,train
u-hlanga,Zulu,сухой стебель,основной стебель ствол растения общий предок,0,train
лакъон,Osetian,ил,муть,0,train
oprette,Danish,сооружать,создавать учреждать,0,train
ба́чир,Botlih,развязывание узла расшнуровывание,отвязывание,0,train
nupurtyti,Lithuanian,отряхнуть,отряхивать,0,train
уадздзаг,Osetian,полоса полоска,лента,1,train
гьумуру,Botlih,мягкий,рыхлый,1,train
şüursuzluq,Azeri,бессознательность неосознанность,несознательность отсталость проявить несознательность,0,train
nuspausti,Lithuanian,отдавить,надавить,0,train
му́гъайр,Botlih,доставка,отвод,0,train
лæмæгъ,Osetian,слабый вялый дряблый,слабый тусклый о свете,1,train
κηλίς,Ancient greek,пятно,пятно позор бесчестие,1,train
cızıqlı,Azeri,линованый такой на котором нанесены линии для письма по ним линованая тетрадь,графлёный расчерченный на графы с графами графленая бумага,0,train
mange,Norwegian,многие места,двумя и тремя миллионами крон,0,train
um-vuno,Zulu,уборка урожая жатва,предвзятость необъективность,1,train
dla,Zulu,есть поедать,пить молоко и пр кусать жалить,1,train
hesablaşmaq,Azeri,считаться,производить денежные расчеты обычно взаимные сосчитаться счесться расплатиться с кем л мы с ним ещё не считались,1,train
iškilti,Lithuanian,возвыситься подняться,подняться,0,train
oplyse,Danish,освещать,просвещать,1,train
döyülmüş,Azeri,битый избитый,молотый,1,train
исын,Osetian,брать,получать,0,train
hluma,Zulu,пускать ростки давать побеги,приходить в нормальное состояние,1,train
кьантіи́,Botlih,о твердеть,крепиться крепнуть,1,train
rikiuoti,Lithuanian,выстраивать,распоряжаться,0,train
buffet,Danish,буфетная стойка стол с закусками накрываемый на приёмах,буфет на вокзале и тп,0,train
дертлендируьв,Nogai,ободрять вдохновлять воодушевлять,ободрение вдохновление воодушевление,0,train
mute,Latvian,рот,лицо мыть лицо разг он за словом в карман не полезет,1,train
сахуыр,Osetian,обучиться выучить ся научить ся,приготовить напр уроки сахуыр уын,0,train
isi-khala,Zulu,проход в горах зарослях просвет в облаках,возможность удобный случай шанс,1,train
cingildəmək,Azeri,звенеть прозвенеть,лязгать лязгнуть производить произвести издавать издать лязг звонкий скрежещущий звук о металлических предметах ударяющихся обо что л или друг о друга шашки лязгали цепи лязгали подковы лязгают,0,train
каро́л,Botlih,король титул монарха,король шахм,1,train
halle,Latvian,холл зал,павильон павильоны рынка,0,train
айтувшы,Nogai,говорящий,сказитель айгылган известный прославленный,0,train
ашык,Nogai,открытый раскрытый растворённый распахнутый,непокрытый напр о голове,0,train
æлхъывд,Osetian,сдавленный сжатый прижатый стиснутый,притесняемый,0,train
išgąstingas,Lithuanian,перепуганный,полный страха,0,train
brumme,Danish,рычать,шуметь грохотать,0,train
tərtib,Azeri,составление создание написание путём подбора и объединения каких л материалов данных составление словаря составление графика составление плана составление расписания,набираться быть набранным,0,train
qhosha,Zulu,быть дерзким,заст гивать скреплять скалывать одежду,0,train
note,Norwegian,примечание сноска ссылка к тексту,(tegn) нота,0,train
kaitimas,Lithuanian,нагрев,потение,1,train
tvarkymas,Lithuanian,приведение в порядок,благоустройство,0,train
hwyl,Welsh,парус,юмор,1,train
kvittere,Danish,расписываться в получении,отвечать реагировать отплатить,0,train
mabaidd,Welsh,filial,belonging to childhood,0,train
ἐκχωρέω,Ancient greek,уходить уезжать,переселяться эмигрировать,0,train
delikat,Danish,изысканный,деликатный щекотливый,0,train
бу́жир,Botlih,вера убеждение,поверье,0,train
açılmaq,Azeri,открываться открыться,обнаруживаться становиться известным преступление раскрылось,1,train
isi-bhakela,Zulu,сжатый кулак,удар рукой,0,train
ἐπαράομαι,Ancient greek,призывать посылать проклятия проклинать,в виде проклятия призывать желать,0,train
тiаву́с,Botlih,павлин,жарптица,1,train
henge,Norwegian,висеть,вешать повесить,0,train
кайтаралав,Nogai,повторять чьи л слова,повторение чьих л слов,0,train
τρώς,Ancient greek,Трой,троянец,0,train
ада́м,Botlih,неестественный принуждённый неискренний,необычный ненормальный,0,train
буліа́й,Botlih,кончить окончить закончить завершить,искоренить уничтожить,1,train
paglābt,Latvian,спрятать припрятать,укрыть укрывать р укрыть от дождя,0,train
neur(o>,Norwegian,рука кисть пятерня кулакзь,горстье горстка пригорошня,0,train
айдан,Nogai,вогнутая сторона альчика,верх,0,train
sukāt,Latvian,чесать расчёсывать,чесать,0,train
гьикьах(х)и́,Botlih,вниз,низом,0,train
skrift,Norwegian,шрифт письмо письменность,сочинёние статья,1,train
рахицæн,Osetian,выделиться отделиться обособиться,быть отчисленным,0,train
ἐν,Ancient greek,в анастрофе,посредством,0,train
frafall,Norwegian,отступничество ренегатство,неявка,0,train
танытув,Nogai,дать узнать познать себя,показать зарекомендовать себя,0,train
nomaksa,Latvian,оплата уплата уплата долга,купить в рассрочку,0,train
apvažinėti,Lithuanian,объездить,объезжать,0,train
galva,Lithuanian,голова,жизнь,1,train
stikkelsbær,Danish,покрывать бить козырем,совать удирать,0,train
bronddor,Welsh,"protective armour for the breast, breastplate",shield,0,train
nengeka,Zulu,быть отвратительным возмутительным,быть неприятным при общении,0,train
dale,Danish,опускаться спускаться,падать уменьшаться,1,train
themba,Zulu,надеяться,верить доверяться,1,train
нана,Osetian,мама,старая женщина,1,train
justits,Danish,юстиция правоохранительные органы,порядок дисциплина,0,train
ацæуын,Osetian,пойти,съездить,0,train
plātne,Latvian,пластина,плита р мраморная плита,0,train
йорытув,Nogai,велеть заставлять предугадывать предсказывать,просить толковать напр сны,0,train
opstilling,Danish,сооружение,выставление расстановка,0,train
bijoti,Lithuanian,бояться,опасаться,0,train
да́нда,Botlih,навстречу,против,1,train
б=агъаргъа́й,Botlih,волновать приводить в волнение море,возбудить возбуждать раздражать,1,train
teclyn,Welsh,"instrument, implement, tool, device, gadget, appliance, contraption",?item of furniture,0,train
høvedsimann,Norwegian,воевода а л,таг старшой на рыболовецком боте в Северной Норвегии,0,train
батiалъа́б,Botlih,изолированный,отделившийся выделенный,0,train
фæлыст,Osetian,убор убранство наряд,комплект,0,train
įtūžimas,Lithuanian,ярость,остервенение,0,train
əl,Azeri,ручной,звать подавая знак рукой,0,train
аьйлежи,Nogai,хитрый лукавый аьйлежи туьлки а хитрая лиса,притворный,0,train
noeth,Welsh,"naked, nude, undressed, stripped, bare","deprived of its normal covering, bare or exposed (of land, &c.), bleak (of season)",1,train
къай,Botlih,закут загон хлев для мелкого скота,инвентарь,0,train
οἷος,Ancient greek,какой или такой какой или который такой как,для усиления весьма особенно,0,train
доб,Botlih,он она оно о жив х,он,0,train
rinda,Latvian,ряд в два ряда,строка строчка с новой строки,0,train
бухи́,Botlih,дарить невесте,вынимать,1,train
ծեփել,Armenian,Штукатурить заштукатурить,Замазывать замазать залеплять залепить,0,train
atitaisyti,Lithuanian,исправлять,ремонтировать,0,train
gwallus,Welsh,"negligent, careless, heedless, slack, remiss","faulty, untrue (of speech or statement, report, record, &c.)",1,train
ragas,Lithuanian,рог,стрелка (мыса),1,train
б=укіи́,Botlih,бытие существование,нахождение наличие,0,train
hule,Danish,пещера,полость,0,train
behandle,Danish,обращаться обходиться с кемл чемл,обсуждать рассматривать иметь дело с чемл,0,train
в=инси́,Botlih,найти обнаружить,найти застать,0,train
ἄθυτος,Ancient greek,не принесенный в виде жертвы,непригодный для жертвоприношения,0,train
ikimərtəbəli,Azeri,двухэтажный двухэтажное здание двухэтажная антенна,двухъярусный двухъярусный стеллаж,0,train
արագասահ,Armenian,Быстротечный быстротекущий мимолётный,Мимолётно быстротечно,0,train
sūds,Latvian,дерьмо,херня,0,train
mamalıq,Azeri,акушерство,отдел медицины рассматривающий вопросы врачебной помощи при беременности родах и в послеродовой период,0,train
առաջ,Armenian,Перед или передо кем- чём-л напротив впереди кого- чего-л перед домом,выдвинуться,0,train
ἀφλέγμαντος,Ancient greek,противовоспалительный,не горячительный не возбуждающий,0,train
cyfring,Welsh,covering,vessel,1,train
valilik,Azeri,губернаторство наместничество,земли принадлежавшие губернаторству владения губернатора,0,train
сувыртув,Nogai,велеть заставлять поручать просить выдёргивать напр зуб,сурьма краска для бровей и ресниц,0,train
фырдзырд,Osetian,говорун,болтовня,0,train
dunkčioti,Lithuanian,стукать,стучать,0,train
stryge,Danish,гладить,утюжить,0,train
mærkværdig,Danish,замечательный удивительный,странный удивительный,0,train
isi-thutha,Zulu,одно из названий духа предков иногда воплотившегося в неядовитую змею или ящерицу,глупый человек глупец дурак,1,train
προπομπός,Ancient greek,сопровождающий сопутствующий,и сопровождающий спутник,0,train
батiа́лъиха́б,Botlih,отделяемый отделимый,разделительный выделительный,0,train
rhuchen,Welsh,cataract or web (of the eye),also fig,0,train
qəsdən,Azeri,намеренно с намерением преднамеренно сознательно умышленно с умыслом умышленно опоздать,нарочно нарочно выстрелить в воздух,0,train
speilbilde,Norwegian,отображение в искусстве,отражать отразить в зеркале воде,0,train
klykauti,Lithuanian,кричать,вопить,0,train
kdmme,Norwegian,пое плохо хорошо справиться с пое выйти живым из уцелетьРР после чего л,рассказывать атьс излагать изложить,0,train
айырув,Nogai,отделять разделять разъединять разобщать разлучать,разбирать,0,train
inanmaq,Azeri,верить поверить,вполне доверять доверить кому л полагаться положиться на кого л верить людям верить другу искренне верить верю что,0,train
гьа́ркiкiи,Botlih,жена,самка,1,train
seleksiya,Azeri,селекция,селекционный,0,train
külçə,Azeri,слиток застывший кусок расплавленного и отлитого в определенной форме металла или сплава ковка слитка,самородок кусок самородного золота или серебра золотой самородок слиток золота,0,train
xırdalanmaq,Azeri,дробиться раздробляться раздробиться быть раздробленным,делиться разделиться на части расчленяться расчлениться отряды дробятся на группы,0,train
filur,Norwegian,плут жулика,плутовство жульничество,0,train
selskapelig,Norwegian,общительный,общёственный,0,train
nez,Latvian,неизвестно как знать вряд ли навряд ли неизвестно о чём они говорят он навряд ли придёт,не очень то,0,train
ябылув,Nogai,закрываться затворяться,окучиваться быть окученным,0,train
mitha,Zulu,беременеть обычно о животных,содержать в себе быть наполненным,1,train
drwg,Welsh,"bad, rotten, putrid",blame,1,train
enza,Zulu,делать действовать совершать,вызывать причинять являться причиной случаться происходить,1,train
nuotaikus,Lithuanian,с настроением,хорошо настроенный,0,train
grât,Welsh,"grate, fire-place","griddle, bakestone",0,train
slange,Danish,змея,шланг,1,train
акъупп,Osetian,стукнуть ся,выпить до дна,0,train
ойласув,Nogai,думать над с вместе сообща,обсуждать обмениваться мнениями,0,train
diri,Azeri,живой,полный жизненных сил подвижный живой ребёнок очень живой старик,1,train
sugnybti,Lithuanian,защемить,прищемить,0,train
tolerabel,Norwegian,терпимость,толерантный,0,train
бигьалъа́й,Botlih,облегчить,загладить смягчить,0,train
сфадын,Osetian,спилить,расколоть,0,train
айыплав,Nogai,обвинять осуждать,ставить в вину укорять упрекать,0,train
neuzticīgs,Latvian,неверный вероломный неверный друг,недоверчивый недоверчивый человек,0,train
nenoteikts,Latvian,неопределённый неопределённые местоимения,нерешительный нерешительный человек,0,train
llyfrnod,Welsh,bookmark,signature (in printing),1,train
eynibiçimli,Azeri,с однаковым покроем одинакового размера,с одинаковой фигурой телосложением одинакового телосложения с одинаковым ростом одинакового роста,0,train
тийисли,Nogai,необходимый положенный требуемый,должный соответствующий,0,train
rangere,Danish,сортировать размещать в какомл порядке,сортировать маневрировать на железной дороге,0,train
æндар,Osetian,пятно,точка,1,train
trikse,Norwegian,показывать атьс фокусы иллюзионистские еп показать карточный фокус,жульничать с мошенничать с,1,train
փոշի,Armenian,Пыль,Прах,0,train
hücum,Azeri,наступательный наступательные действия наступательный порыв бойцов,наступать начать наступление ведя военные действия двигаться вперед вести наступление,0,train
örtülmə,Azeri,закрывание,покрывание,0,train
səslənmək,Azeri,звучать,подавать подать голос он неожиданно подал голос,0,train
gėrimas,Lithuanian,напиток,питье,0,train
solid,Welsh,solid,a solid (also in math.),0,train
jorde,Danish,предавать земле усопшего,урыть подавить когол физически или морально,1,train
saplest,Latvian,разорвать разрывать порвать разодрать раздирать,разбить разбивать,0,train
апырх,Osetian,развеять разнести рассеять,разорвать порвать,0,train
6),Nogai,употребление в пищу,размывание подмывание водой,0,train
udearbejde,Danish,работа вне дома,работа на свежем воздухе,0,train
աղոթավոր,Armenian,Молящийся,Молитвенный,0,train
nostāvēt,Latvian,простоять простаивать,устоять,0,train
լատվիերեն,Armenian,Латвийский язык,По-латвийски на латвийском языке,0,train
arfergar,Welsh,fashionable,(dict.) fond of custom,0,train
тез,Nogai,скорый быстрый,нанизывать,0,train
bumbulis,Latvian,шишка желвак,помпон,0,train
гiалху́л,Botlih,дикий,хищный,1,train
spriedums,Latvian,рассуждение суждение правильное рассуждение,приговор приговор суда,0,train
nesātīgs,Latvian,несытный несытная еда,ненасытный ненасытный человек,1,train
mening,Danish,мнение взгляд,намерение план,0,train
dənli,Azeri,зерновой зерновые культуры злаки зерновые,гранулёзный зернофураж,0,train
æнæсæрфатдзинад,Osetian,неопределённость,бестолковость беспорядочность неурядица,0,train
ovuşdurmaq,Azeri,массировать,растирать делать массаж применяя какую л мазь лекарство растирать камфорой,0,train
ištesėti,Lithuanian,сдерживать,выполнять,0,train
անհաշտ,Armenian,Неуживчивый неуживчивый человек,Непримиримый непримиримая вражда,0,train
ганди́,Botlih,потянуть,за курить,1,train
moderns,Latvian,модный модное платье,современный современная техника,0,train
u-lembu,Zulu,паутина,тонкий прозрачный материал,1,train
pripirkti,Lithuanian,прикупать,накупать,0,train
уæцъæф,Osetian,желудок,брюхо,1,train
ward,Welsh,"(hospital, &c.) ward","guardianship, guard, watch, custody",0,train
кæттаг,Osetian,грубое полотно холст,брезент парусина,0,train
астарлы,Nogai,на подкладке имеющий подкладку,имеющий наперник нижнюю наволочку,0,train
tikti,Lithuanian,годиться,подходить,0,train
διάβροχος,Ancient greek,орошаемый,влажный полный слез,0,train
cyfrdan,Welsh,"big fire, blazing fire","cry of grief, plaint",1,train
anneddfoldeb,Welsh,"ungodliness, immorality","lawlessness, disorder",0,train
sārtums,Latvian,щёки залились румянцем кровь прилила к голове вино ударило в голову,румянец краска,0,train
զեղչել,Armenian,Делать сделать скидку сбавлять сбавить цену,Дисконтировать,0,train
gribe,Danish,хватать,трогать производить впечатление,1,train
тiала́,Botlih,этаж,слой прослойка,1,train
valkiojimas,Lithuanian,таскание,волочение,0,train
fjernstyre,Danish,телевизор,телевидение,0,train
çıxıq,Azeri,вывих смещение костей в суставе затрудняющее или делающее невозможным их нормальную подвижность вправить вывих костоправ вправил вывих врождённый вывих застарелый вывих неполный вывих полный вывих свежий вывих травматический вывих,вывихнутый сдвинутый смещённый с места о суставах,0,train
dybde,Norwegian,глубина,глубина содержательность,1,train
düşmək,Azeri,падать пасть упасть,отбиться от своих тора попасть в ловушку упрямится если представится случай попадать попасть в сети чьи вспомнить своё детство сильно испугался ась душа ушла в пятки пасть на сердце на душу,0,train
авырланув,Nogai,становиться тяжелее становиться более тяжёлым,делаться тучным напр о колосьях,0,train
бырын,Osetian,ползать,плестись медленно идти,1,train
аныгъуылын,Osetian,нырнуть,спрятаться исчезнуть скрыться,1,train
hlanguka,Zulu,разойтись в разные стороны,менять мнение передумывать,1,train
atebiad2,Welsh,"an answering, replying, or responding, answer, reply, response, also fig","answer (to accusation, complaint, claim, &c.), defence",0,train
blingedig,Welsh,"flayed, skinned",skinless,0,train
cwecwa,Zulu,срезать верхний слой чистить овощи,действовать тщательно,1,train
stebėti,Lithuanian,наблюдать,созерцать,0,train
i-buya,Zulu,полный прилив,откат волны,0,train
fragt,Danish,перевозка транспортировка,груз фрахт,0,train
bağ,Azeri,сад фруктовые сады разбить сад,нить,1,train
crapiaf,Welsh,"to grip, seize, hold",get a smattering of,1,train
слæбурын,Osetian,напасть,прийти снизу,1,train
nəşələnmə,Azeri,наслаждение услаждение,опьянение,1,train
б=укiи́,Botlih,быть,обстоять,0,train
soruşulmaq,Azeri,спрашиваться быть спрошенным,спрашиваться спроситься за результат дела спросится с тебя,0,train
çürükçü,Azeri,мелочный придающий большое значение пустякам мелочам,нудно и надоедливо повторяющий одно и то же,0,train
um-phandu,Zulu,пещера грот,склад хранилище,1,train
linkęs,Lithuanian,склонный,восприимчивый,0,train
sentimental,Azeri,литер связанный с сентиментализмом сентиментальный роман сентиментальное направление в литературе,легко приходящий в умиление чувствительный сентиментальный человек,0,train
operativ,Azeri,оперативный,оперативно оперативно решить вопрос,0,train
istedad,Azeri,выдающиеся природные способности необыкновенный талант обладать талантом музыкальный талант особый талант яркий талант могучий талант зарыть свой талант в землю природный талант обладать даром слова,человек с выдающимися способностями дарованием большой талант о ком л,0,train
-оmilе,Zulu,сухой высохший,испытывающий жажду,1,train
δικαιόω,Ancient greek,оценивать по достоинству,вершить суд воздавать по заслугам,0,train
hirdwf,Welsh,"long form or growth, tall body","high, tall",0,train
nedgang,Danish,спуск,падение напр цен упадок снижение уменьшение,1,train
derwin,Welsh,"made of oak, oaken, (buried) in an oak coffin",oak timber,0,train
gqika,Zulu,нагромождать наваливать,опираться,0,train
susiėjimas,Lithuanian,схождение,сбор,0,train
palaipinė,Lithuanian,палатка,шатёр,0,train
necik,Latvian,ничуть нисколько,не очень давно недавно не очень далеко неподалёку вскоре после этого сколько нибудь,0,train
anke,Danish,жалоба претензия,апелляция,0,train
οὐδέν,Ancient greek,пустота пустое пространство,нисколько ничуть,1,train
skrupforvirret,Danish,совершенно смущённорастерянно,сбитый с толку абсолютно растерянный,0,train
konsentrasjon,Norwegian,концентрация сосредоточение,сосредоточенность концентрация внимания,0,train
streif,Norwegian,проблеск луч,лёгкое прикосновёние касание дотрагивание,1,train
ἀπερείδω,Ancient greek,упирать устремлять,упираться опираться,0,train
im-bhaxa,Zulu,развилка дорог,приток реки умственный изъян,1,train
puvimas,Lithuanian,гниение,тление,0,train
и́,Botlih,кое как как нибудь как либо,всячески,0,train
ծածկ,Armenian,Перекрытие,Покров,0,train
ոստղ,Armenian,Сук,Сучок остаток ветви,0,train
kiekviena,Lithuanian,которая,любая,0,train
herom,Danish,сюда,об этом ранее упомянутом,0,train
krāsа,Latvian,цвет яркие цвета,краска масляные краски,1,train
įmanomas,Lithuanian,возможный,достаточно большой,1,train
kante,Danish,окаймлять,протискиваться,0,train
synnwyr,Welsh,чувство,фраза,1,train
ныддасын,Osetian,обрить,скосить,1,train
fra-,Norwegian,удаление отталкивать отсутствие оставлять покидать какое л место,отказ,0,train
бындурон,Osetian,основной кардинальный фундаментальный коренной существенный монументальный,наследственный,0,train
noslāpt,Latvian,задохнуться задыхаться,заглохнуть,1,train
kvartirmeyster,Azeri,квартирмейстер должностное лицо в армиях некоторых стран а также в русской армии в прошлом ведающее размещением войск по квартирам и снабжением их продовольствием и фуражом,квартирмейстерский,0,train
kürü,Azeri,икра,скопление зерновидных яичек откладываемых рыбами амфибиями моллюсками и водными животными метать икру,0,train
avdeling,Norwegian,отделение,заместитель заведующего отделением замзавотделением м начальник отдела,0,train
бакъул,Osetian,прислонить ся,прилечь,0,train
is-enyuso,Zulu,восхождение,повышение,1,train
apšmirinėti,Lithuanian,прошнырять,(про)шмыгивать,0,train
paakinti,Lithuanian,побуждать,поощрять,0,train
tjelde,Norwegian,драпировать за,дёлать с навес,0,train
izmainīt,Latvian,обменять обменивать поменять,разменять разменивать,0,train
blėsti,Lithuanian,гаснуть,угасать,0,train
cwarter,Welsh,quarter,lunar quarter,0,train
haearnaf: haearnu,Welsh,"to cover with iron, set or tip with iron, arm with iron",make (one) callous or unfeeling,1,train
khandana,Zulu,ударяться сталкиваться,встречаться случайно,1,train
inteliģents,Latvian,интеллигент,интеллигентный,0,train
misa,Zulu,устанавливать,размещать,0,train
hyserch,Welsh,"amiable, loving, very affectionate, lovable, endearing, engaging",amorous,0,train
æрбалвасын,Osetian,подтянуть,сдавить,0,train
üçüzlü,Azeri,имеющий три грани трехгранный напильник трехгранный штык,образуемый пересечением трёх граней проходящих через одну точку трёхгранный угол,0,train
efter,Danish,после за,согласно по,0,train
stil,Danish,сочинение письменная работа,стиль манера,0,train
ἐπίληψις,Ancient greek,схватывание,нападки порицание,1,train
rėžti,Lithuanian,резать,ударить,1,train
pladder,Danish,грязь,болтовня,1,train
užgriūti,Lithuanian,завалиться,обрушиться,0,train
ныттонын,Osetian,поцарапать,поломаться,0,train
kalt,Latvian,ковать,перен зубрить,1,train
mamont,Azeri,мамонт животное с длинной шерстью и закруглёнными бивнями жившее в ледниковый период,мамонтовый мамонтовая кость,0,train
στρόφος,Ancient greek,перевязь,повязка свивальник,0,train
in,Norwegian,окулировка прививка инокуляция,прививка,0,train
çürüntü,Azeri,гнилостный,перегнойный относящийся к перегною связанный с перегноем перегнойное вещество,0,train
i,Norwegian,положёние,должность место,1,train
kāds,Latvian,какой каков какая сегодня погода я не знаю каков он,кто либо кто нибудь некто,0,train
æваст,Osetian,мгновенно сразу неожиданно внезапно вдруг,самовольно без ведома,0,train
æфтауц,Osetian,место куда собирают сено дрова в горах,склад,0,train
fodformjet,Danish,соответствующий форме стопы об обуви,тенденциознолевый ограниченный,0,train
fortryte,Norwegian,кн или раскаиваться М яться,досада обида,0,train
lyte,Norwegian,быть должным вынужденным,иметь разрешение на В поступай как знаешь,0,train
çəkmək,Azeri,тянуть,добывать перегонкой гнать выгонять выгнать курить гнать смолу дёготь гнать спирт,1,train
regulére,Norwegian,еп планировать рас еп еп,брекеты лот ж,0,train
анæтын,Osetian,постонать,похныкать,0,train
gciviza,Zulu,раскатывать расплющивать,штемпелевать ставить печать,0,train
åpenbar,Norwegian,раскрываться раскрыть сяа проявляться итьсяс,являться явиться,0,train
чiо́ди,Botlih,развалина руина,название улицы в Ботлихе,0,train
netha,Zulu,мокнуть промокать,протекать о крыше,0,train
εὐπετής,Ancient greek,о жребии счастливо выпадающий счастливый,сговорчивый уступчивый,1,train
laləgun,Azeri,алый румяный,багровый,0,train
къинкъида́й,Botlih,наколоть,запихать,0,train
um-hlaba,Zulu,земля,страна край,1,train
ἴκταρ,Ancient greek,сразу вместе,близ рядом с,0,train
vokse,Norwegian,расти вырасти,подниматься ятьсяо поднялось возникло народное движёние,1,train
disposition,Danish,распоряжение,диспозиция войск,0,train
azi,Zulu,знать осознавать понимать,мочь,1,train
aflonydd,Welsh,"restless, restive, uneasy, agitated, fidgety, unruly, turbulent, unstable","in constant motion, moving",0,train
æртасын,Osetian,согнуться,покориться подчиниться,1,train
trykk-kabin,Norwegian,кнопка,скороварка,0,train
